                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3593,                 1.1448,                 1.3207,                0.75434,                0.66952,                0.74498,                0.43073,                 1.0525,                 1.5798,                0.97566,               0.003268,               0.003268,               0.003268
                     36,                 1.3496,                 1.1355,                 1.3146,                 0.7502,                0.66615,                0.74638,                0.42935,                 1.0467,                 1.5542,                0.97457,                0.00307,                0.00307,                0.00307
                     37,                 1.3408,                 1.1128,                 1.3078,                0.73815,                0.66392,                0.74296,                0.43205,                 1.0406,                 1.5132,                0.97055,               0.002872,               0.002872,               0.002872
                     38,                 1.3324,                 1.0977,                 1.3037,                0.74323,                0.67386,                0.74778,                0.43251,                 1.0453,                  1.451,                0.97529,               0.002674,               0.002674,               0.002674
                     39,                 1.3318,                  1.096,                  1.298,                 0.7398,                0.68193,                0.75198,                0.43662,                 1.0426,                 1.4549,                0.97244,               0.002476,               0.002476,               0.002476
                     40,                 1.3122,                 1.0859,                 1.2948,                0.74061,                0.68501,                0.75032,                0.43608,                 1.0373,                 1.5287,                0.96883,               0.002278,               0.002278,               0.002278
                     41,                 1.3585,                 1.0422,                  1.332,                0.74478,                0.66678,                0.74659,                0.43421,                 1.0404,                 1.4048,                0.97103,                0.00208,                0.00208,                0.00208
                     42,                 1.3477,                 1.0182,                 1.3189,                0.75006,                0.67721,                0.75124,                0.43637,                 1.0397,                 1.4534,                0.97218,               0.001882,               0.001882,               0.001882
                     43,                 1.3276,                0.98736,                 1.3043,                 0.7574,                0.67408,                0.75462,                0.43694,                 1.0407,                 1.4391,                0.97203,               0.001684,               0.001684,               0.001684
                     44,                 1.3152,                0.97415,                 1.2924,                0.75685,                0.66938,                0.75567,                0.43822,                 1.0379,                  1.351,                0.96918,               0.001486,               0.001486,               0.001486
                     45,                 1.3021,                0.94753,                 1.2866,                0.75963,                0.67398,                 0.7559,                0.44059,                  1.041,                 1.3024,                0.97463,               0.001288,               0.001288,               0.001288
                     46,                  1.295,                0.93963,                 1.2812,                0.75104,                0.68543,                0.75495,                 0.4395,                  1.043,                  1.303,                  0.976,                0.00109,                0.00109,                0.00109
                     47,                 1.2883,                0.92493,                 1.2786,                0.75727,                0.67843,                0.75489,                0.44125,                 1.0415,                 1.3368,                0.97434,               0.000892,               0.000892,               0.000892
                     48,                 1.2769,                0.90696,                 1.2676,                0.75728,                0.68603,                0.75661,                0.44194,                 1.0414,                 1.2933,                0.97426,               0.000694,               0.000694,               0.000694
                     49,                 1.2696,                0.90301,                  1.264,                0.76201,                0.68129,                0.75783,                0.44227,                 1.0393,                 1.3017,                0.97279,               0.000496,               0.000496,               0.000496
                     50,                 1.2505,                0.88309,                 1.2544,                0.76291,                0.68434,                 0.7596,                0.44419,                 1.0397,                 1.2744,                0.97314,               0.000298,               0.000298,               0.000298
